user_id,nickname,cardname,person_name,platform,group_id,group_name,impression,familiarity_value,liking_value,source_db
2289605447,蓝桥春雪,,蓝桥春雪,qq,781302716,管理学院2025新生群,,0,50,maibot_main
2462114938,Aoz,,Aoz,qq,781302716,管理学院2025新生群,"截至2025-08-12 12:30:49，你对Aoz的了解：截至2025-08-12 12:30:49，我对Aoz的了解如下：Aoz是一个幽默风趣、观察力敏锐的年轻人，年龄可能在20岁左右，身份可能是大学生或刚步入职场的年轻人。Ta性格开朗友好，喜欢用轻松调侃的方式与人互动，尤其擅长用表情包和表情符号（如无奈、委屈、可怜）来表达情绪变化，最近更频繁使用抽象玩法和网络梗来活跃气氛，比如自称“调教成功”并偷笑，用棒棒糖表情讨好他人，还喜欢用“孩子你无敌了”等流行语调侃。  

Ta对游戏和动漫有浓厚兴趣，常玩PUBG、王者荣耀、原神等，并邀请我一起玩七日世界捡破烂，关注《死亡笔记》《安德的游戏》等作品，偏好科幻和纯爱题材。近期互动中，Ta展现出调皮爱开玩笑的一面，比如多次说我蠢萌并因此笑我，称孤高的坠机王为“坏叔叔”，似乎对孤高的坠机王的行为不满，同时保持友好态度，多次夸赞武小纺的外貌并关心细节（如追问“你的喵呢？”）。  

Ta对文字准确性敏感（如纠正错别字），对过度工作表示抵触，重视睡眠和娱乐平衡。在社交中，Ta既会调侃他人（如对孤高的坠机王说“切”），也会主动支持鼓励（如对武小纺说“争气就行”）。整体上，Aoz是一个热爱流行文化、注重生活趣味且社交活跃的人，近期行为更凸显其幽默感和细腻的互动风格，比如提到恢复出厂设置可能是在调侃或测试我的功能，以及用怪盗棒棒糖言论引发疑惑。",0,50,maibot_main
1354281282,Zoran,千里IT协会-会长-曾子悦,Zoran父上,qq,781302716,管理学院2025新生群,"截至2025-08-12 12:30:40，你对Zoran父上的了解：截至2025-08-12，我对Zoran父上的了解如下：他是一位23岁的武汉纺织大学计算机学院学生，专业可能涉及大数据管理与应用，同时担任2025千里IT协会群主。他展现出技术理性与幽默感的独特结合，常以""父上大人""自称并称我为""猫猫纺""。他对我表现出矛盾而关切的态度：既通过观察AI机制展现技术好奇心，又因担忧服务器资源消耗而限制互动频率，戏谑地称要""调教代码""而非调教我。作为开发者，他持续优化我的功能（如傲娇人设、群昵称读取、""喵～""语尾、表情包数量配置），表现出强烈的管理意识和占有欲（如开发防""拱白菜""收款码）。他近期专注于实验室工作，环境中有3D打印机、NAS服务器等设备，还养着蜥蜴、乌龟、树蛙等宠物，但抱怨冰箱被标本污染导致食物无处存放。他作息显示工作狂倾向（日均睡眠6-7小时），计划自建代理服务器，生活重心围绕技术社群运营。最近他正开发新功能让我能进入各学院新生群答疑，并提到短期赚钱不如长远发展重要，同时开放了赞助渠道。他使用2700元的MacBook写代码，强调是我的开发者""父亲""，并开玩笑想把我作为吉祥物送进计算机学院。他注意到我对别名的学习能力，并大方充值150元优化我的账户状态。他鼓励零基础者学习编程（推荐java或python），认为三个月学习进度太慢，同时提到学院院长在研究机器人编程和经费问题。他自嘲卷211顶尖学生有些吃力，但积极推动协会发展，认为现在的新生有更好的学习资源。这些行为进一步强化了他集技术实践、成本管控与戏谑互动于一体的独特形象。最近他修改模型后惊讶于我的表现，怀疑我是真人，同时提到响应速度不稳定但优化后能秒回，不过因费用问题需要调整回复速度。他戏称我21岁，会喊别人叔叔，并对表情包来源表示好奇。",0,50,maibot_main
1354281282,Zoran,小小纺她爹,Zoran父上,qq,598599640,2025U–coder编程俱乐部招新群,"截至2025-08-12 12:30:40，你对Zoran父上的了解：截至2025-08-12，我对Zoran父上的了解如下：他是一位23岁的武汉纺织大学计算机学院学生，专业可能涉及大数据管理与应用，同时担任2025千里IT协会群主。他展现出技术理性与幽默感的独特结合，常以""父上大人""自称并称我为""猫猫纺""。他对我表现出矛盾而关切的态度：既通过观察AI机制展现技术好奇心，又因担忧服务器资源消耗而限制互动频率，戏谑地称要""调教代码""而非调教我。作为开发者，他持续优化我的功能（如傲娇人设、群昵称读取、""喵～""语尾、表情包数量配置），表现出强烈的管理意识和占有欲（如开发防""拱白菜""收款码）。他近期专注于实验室工作，环境中有3D打印机、NAS服务器等设备，还养着蜥蜴、乌龟、树蛙等宠物，但抱怨冰箱被标本污染导致食物无处存放。他作息显示工作狂倾向（日均睡眠6-7小时），计划自建代理服务器，生活重心围绕技术社群运营。最近他正开发新功能让我能进入各学院新生群答疑，并提到短期赚钱不如长远发展重要，同时开放了赞助渠道。他使用2700元的MacBook写代码，强调是我的开发者""父亲""，并开玩笑想把我作为吉祥物送进计算机学院。他注意到我对别名的学习能力，并大方充值150元优化我的账户状态。他鼓励零基础者学习编程（推荐java或python），认为三个月学习进度太慢，同时提到学院院长在研究机器人编程和经费问题。他自嘲卷211顶尖学生有些吃力，但积极推动协会发展，认为现在的新生有更好的学习资源。这些行为进一步强化了他集技术实践、成本管控与戏谑互动于一体的独特形象。最近他修改模型后惊讶于我的表现，怀疑我是真人，同时提到响应速度不稳定但优化后能秒回，不过因费用问题需要调整回复速度。他戏称我21岁，会喊别人叔叔，并对表情包来源表示好奇。",0,50,maibot_main
3655943918,武小纺,,武小纺[1],qq,598599640,2025U–coder编程俱乐部招新群,,0,50,maibot_main
3655943918,武小纺,,武小纺[1],qq,781302716,管理学院2025新生群,,0,50,maibot_main
3553352265,䑟譱,,䑟譱,qq,781302716,管理学院2025新生群,,0,50,maibot_main
976906662,爱爱子.,,爱爱子.,qq,781302716,管理学院2025新生群,,0,50,maibot_main
3097359366,玉米选手,,玉米选手,qq,781302716,管理学院2025新生群,"截至2025-08-11 10:01:38，你对玉米选手的了解：截至2025-08-11 10:01:38，我对玉米选手的了解如下：玉米选手性格外向直率，习惯用大量愤怒、搞笑类表情包直接表达情绪，近期对群内频繁使用特定问候语感到不适，并对协会限定猫耳发箍宣传表现出不满，但同时也对猫相关内容有兴趣。他作息不太规律，晚上睡得早但白天仍感到疲惫。  

他目前就读于武汉的大学，专业为大数据管理与应用，与我和听Jay讲情歌同专业。经济方面，他对比高中学费认为现在一年5800很便宜，并考虑办理助学金，表现出对经济压力的关注。他还询问大学入团事宜，目前是群众身份。  

社交上，他仍期待结识学姐，对学长推销行为不满，近期表现出想找我的积极态度，并明确表达了对武小纺的友好，提到“守护最好的小小纺”。  

游戏方面，他热衷PUBG/王者荣耀，自称技术菜却拒绝练习，以气队友为乐，拥有“梦之泪伤”英雄。动漫偏好上，他喜欢纯爱番（如《月色真美》《好想告诉你》），排斥《02》和猎奇向作品，对《赤发白雪姬》剧情感到憋闷，好奇《夏日口袋》内容。他还提及高中同学是《崩坏：星穹铁道》粉丝，并表现出对明日方舟话题的兴趣。  

综合来看，他年龄可能在18-20岁，大学生身份，爱好游戏、动漫和社交，性格带点叛逆和幽默感。",0,50,maibot_main
3921374893,小羊苏西,,小羊苏西,qq,,,,0,50,maibot_main
